ID,Mean Bathy. Depth,Mean Retreat,Mean Fjord Width,Mean TF,Mean Subglacial Discharge,Mean Cross-sectional Area,Mean Undercutting Rate,dist,vel_max,H_mean,sslope_mean,S_mean,Type_EntireRecord
179,93,3.11,2.35,2.03999996185303,0.31,0.25,0.389999985694885,20000,297.41949,96.9444444444444,0.027571635230638,295.368421052632,4
181,1,0.48,0.98,1.70000004768372,1.93,0,0.330000013113022,20000,271.3461,340.857142857143,0.0463140200794828,877.444444444444,4
193,107,10.1,2.2,2.42000007629394,0.54,0.27,0.5,20000,1085.45728,107.9,0.0304845493744609,216.571428571429,3
194,41,0.37,2.37,0.349999994039536,1.66,0.06,0.0599999986588955,20000,417.68451,755.8125,0.0279705530866324,946.551020408163,7
214,91,3.48,10.42,0.259999990463257,6.92,1.08,0.0399999991059303,20000,287.92947,1186.90566037736,0.0140744624082521,1084.5,1
219,10,1.21,2.51,2.58999991416931,3.84,0.02,0.560000002384186,20000,125.83788,360.888888888889,0.0227609019474975,379.9,5
220,54,23.41,6.16,0.419999986886978,1.89,0.35,0.0700000002980232,20000,594.22729,718.333333333333,0.0176888864998141,564.909090909091,8
230,2,1.25,3.09,0.170000001788139,7.7,0,0.0299999993294477,20000,231.3347,1001.87804878049,0.022882846431956,770.97619047619,8
233,3,0.49,1.54,0.0199999995529652,1.53,0,0,20000,41.41078,30.3571428571429,0.0477940851209211,506.8,8
241,1,1.11,1.59,0,0.24,0,0,20000,65.29254,34.3846153846154,0.0462167013861474,362.214285714286,4
